customer_id,gender,age_group,region,product_category,purchase_channel,platform,customer_rating,review_text,sentiment,response_time_hours,issue_resolved,complaint_registered,sentiment_label
1715,female,26-35,central,books,online,shopclues,2,product stopped working after few days.,negative,50,no,yes,0
1716,other,18-25,north,automobile,online,swiggy instamart,2,late delivery and poor packaging.,negative,31,yes,yes,0
1717,female,36-45,west,books,online,lenskart,1,very disappointed with the quality.,negative,21,yes,yes,0
1719,female,36-45,south,automobile,online,snapdeal,5,fast delivery and great packaging.,positive,36,yes,no,1
1720,female,18-25,west,beauty,online,reliance digital,5,great value for money.,positive,25,yes,no,1
1722,other,18-25,north,fashion,online,myntra,1,late delivery and poor packaging.,negative,32,yes,yes,0
1723,female,60+,central,sports,online,boat,5,very satisfied with the quality.,positive,15,yes,no,1
1724,other,18-25,west,books,online,croma,4,"amazing experience, highly recommend!",positive,31,yes,no,1
1725,female,18-25,south,books,online,tata cliq,5,very satisfied with the quality.,positive,56,no,no,1
1727,other,36-45,north,beauty,online,facebook marketplace,4,fast delivery and great packaging.,positive,14,yes,no,1
1729,female,36-45,east,travel,online,flipkart,2,very disappointed with the quality.,negative,64,no,yes,0
1730,male,26-35,south,electronics,online,nykaa,2,very disappointed with the quality.,negative,62,no,yes,0
1731,other,60+,east,automobile,online,facebook marketplace,4,"amazing experience, highly recommend!",positive,63,no,no,1
1732,other,26-35,central,beauty,online,amazon,1,late delivery and poor packaging.,negative,20,yes,yes,0
1733,other,60+,north,home & kitchen,online,croma,5,very satisfied with the quality.,positive,61,no,no,1
1734,other,36-45,east,groceries,online,flipkart,5,fast delivery and great packaging.,positive,35,yes,no,1
1735,other,26-35,central,travel,online,snapdeal,4,great value for money.,positive,24,yes,no,1
1736,other,26-35,central,home & kitchen,online,reliance digital,4,great value for money.,positive,35,yes,no,1
1737,female,18-25,central,beauty,online,meesho,5,great value for money.,positive,51,no,no,1
1738,male,46-60,east,automobile,online,shopclues,1,customer service was unhelpful.,negative,50,no,yes,0
1742,other,18-25,central,books,online,shopclues,2,product stopped working after few days.,negative,17,yes,yes,0
1743,female,60+,south,automobile,online,lenskart,5,excellent product! exceeded expectations.,positive,16,yes,no,1
1744,male,36-45,north,books,online,nykaa,1,product stopped working after few days.,negative,27,yes,yes,0
1745,male,46-60,south,electronics,online,lenskart,2,product stopped working after few days.,negative,9,yes,yes,0
1747,other,46-60,south,home & kitchen,online,swiggy instamart,1,customer service was unhelpful.,negative,47,yes,yes,0
1748,female,46-60,central,books,online,paytm mall,1,not worth the price.,negative,7,yes,yes,0
1749,other,26-35,south,groceries,online,tata cliq,5,"amazing experience, highly recommend!",positive,41,yes,no,1
1751,other,46-60,south,travel,online,tata cliq,1,product stopped working after few days.,negative,17,yes,yes,0
1752,other,60+,south,automobile,online,snapdeal,1,not worth the price.,negative,8,yes,yes,0
1753,female,60+,north,electronics,online,shopclues,2,not worth the price.,negative,41,yes,yes,0
1754,female,26-35,central,fashion,online,flipkart,2,product stopped working after few days.,negative,7,yes,yes,0
1755,female,60+,west,fashion,online,swiggy instamart,2,customer service was unhelpful.,negative,67,no,yes,0
1756,male,46-60,north,travel,online,tata cliq,2,customer service was unhelpful.,negative,11,yes,yes,0
1757,female,18-25,west,home & kitchen,online,boat,2,product stopped working after few days.,negative,26,yes,yes,0
1758,female,46-60,west,beauty,online,shopclues,1,customer service was unhelpful.,negative,27,yes,yes,0
1759,female,36-45,south,sports,online,tata cliq,5,fast delivery and great packaging.,positive,9,yes,no,1
1760,female,60+,west,home & kitchen,online,lenskart,4,excellent product! exceeded expectations.,positive,11,yes,no,1
1761,female,18-25,central,groceries,online,zepto,1,not worth the price.,negative,36,yes,yes,0
1764,female,36-45,east,books,online,flipkart,4,great value for money.,positive,19,yes,no,1
1766,other,26-35,north,automobile,online,ajio,5,great value for money.,positive,60,no,no,1
1767,female,46-60,central,groceries,online,lenskart,1,not worth the price.,negative,25,yes,yes,0
1768,female,18-25,central,fashion,online,paytm mall,2,product stopped working after few days.,negative,9,yes,yes,0
1771,female,26-35,north,fashion,online,paytm mall,2,customer service was unhelpful.,negative,59,no,yes,0
1772,female,36-45,south,automobile,online,meesho,4,"amazing experience, highly recommend!",positive,6,yes,no,1
1773,female,46-60,north,beauty,online,meesho,2,customer service was unhelpful.,negative,16,yes,yes,0
1774,female,26-35,south,automobile,online,flipkart,2,very disappointed with the quality.,negative,69,no,yes,0
1777,male,60+,east,sports,online,swiggy instamart,1,very disappointed with the quality.,negative,57,no,yes,0
1779,male,26-35,north,groceries,online,flipkart,2,late delivery and poor packaging.,negative,70,no,yes,0
1780,other,60+,central,automobile,online,tata cliq,2,customer service was unhelpful.,negative,7,yes,yes,0
1781,male,46-60,east,travel,online,croma,4,excellent product! exceeded expectations.,positive,24,yes,no,1
1783,male,18-25,north,travel,online,amazon,5,fast delivery and great packaging.,positive,10,yes,no,1
1784,other,60+,south,home & kitchen,online,ajio,2,late delivery and poor packaging.,negative,1,yes,yes,0
1786,male,46-60,central,groceries,online,amazon,1,late delivery and poor packaging.,negative,27,yes,yes,0
1787,male,60+,north,books,online,reliance digital,2,very disappointed with the quality.,negative,12,yes,yes,0
1788,male,18-25,central,automobile,online,paytm mall,4,very satisfied with the quality.,positive,70,no,no,1
1790,other,18-25,west,travel,online,reliance digital,5,very satisfied with the quality.,positive,26,yes,no,1
1791,female,46-60,east,travel,online,zepto,4,very satisfied with the quality.,positive,67,no,no,1
1792,other,60+,central,travel,online,tata cliq,5,fast delivery and great packaging.,positive,41,yes,no,1
1793,female,18-25,north,beauty,online,facebook marketplace,1,not worth the price.,negative,18,yes,yes,0
1794,male,18-25,south,automobile,online,bigbasket,4,very satisfied with the quality.,positive,37,yes,no,1
1795,female,36-45,west,beauty,online,flipkart,5,great value for money.,positive,55,no,no,1
1796,male,26-35,central,groceries,online,jiomart,1,not worth the price.,negative,23,yes,yes,0
1797,other,18-25,east,beauty,online,others,1,late delivery and poor packaging.,negative,19,yes,yes,0
1799,female,60+,west,fashion,online,ajio,4,fast delivery and great packaging.,positive,41,yes,no,1
1800,female,26-35,east,sports,online,jiomart,5,excellent product! exceeded expectations.,positive,62,no,no,1
1802,female,26-35,east,beauty,online,tata cliq,5,fast delivery and great packaging.,positive,48,no,no,1
1804,male,36-45,north,automobile,online,swiggy instamart,5,fast delivery and great packaging.,positive,70,no,no,1
1805,male,18-25,west,electronics,online,shopclues,1,late delivery and poor packaging.,negative,13,yes,yes,0
1806,male,26-35,west,travel,online,reliance digital,4,fast delivery and great packaging.,positive,44,yes,no,1
1807,male,18-25,east,books,online,boat,2,very disappointed with the quality.,negative,71,no,yes,0
1809,male,36-45,west,books,online,reliance digital,5,fast delivery and great packaging.,positive,38,yes,no,1
1811,male,18-25,south,groceries,online,swiggy instamart,1,very disappointed with the quality.,negative,3,yes,yes,0
1813,other,36-45,central,travel,online,shopclues,1,product stopped working after few days.,negative,49,no,yes,0
1815,other,26-35,central,sports,online,myntra,1,very disappointed with the quality.,negative,52,no,yes,0
1817,male,36-45,north,electronics,online,others,4,fast delivery and great packaging.,positive,42,yes,no,1
1819,male,26-35,north,home & kitchen,online,paytm mall,2,not worth the price.,negative,25,yes,yes,0
1820,male,18-25,central,electronics,online,meesho,5,fast delivery and great packaging.,positive,68,no,no,1
1821,male,60+,south,electronics,online,boat,1,late delivery and poor packaging.,negative,12,yes,yes,0
1822,other,60+,west,groceries,online,amazon,2,not worth the price.,negative,7,yes,yes,0
1823,male,26-35,north,home & kitchen,online,boat,4,very satisfied with the quality.,positive,17,yes,no,1
1824,other,26-35,east,travel,online,lenskart,1,customer service was unhelpful.,negative,53,no,yes,0
1825,other,18-25,east,beauty,online,facebook marketplace,5,excellent product! exceeded expectations.,positive,27,yes,no,1
1826,other,46-60,west,beauty,online,nykaa,1,product stopped working after few days.,negative,46,yes,yes,0
1827,male,60+,central,fashion,online,tata cliq,2,not worth the price.,negative,31,yes,yes,0
1828,other,26-35,west,electronics,online,reliance digital,4,"amazing experience, highly recommend!",positive,31,yes,no,1
1829,female,46-60,west,home & kitchen,online,boat,4,great value for money.,positive,19,yes,no,1
1830,other,26-35,south,books,online,tata cliq,5,excellent product! exceeded expectations.,positive,8,yes,no,1
1832,other,26-35,north,fashion,online,meesho,4,very satisfied with the quality.,positive,60,no,no,1
1833,female,18-25,south,electronics,online,nykaa,4,great value for money.,positive,70,no,no,1
1835,female,60+,north,home & kitchen,online,shopclues,1,late delivery and poor packaging.,negative,39,yes,yes,0
1837,other,60+,west,fashion,online,ajio,4,great value for money.,positive,47,yes,no,1
1838,male,26-35,central,automobile,online,swiggy instamart,1,customer service was unhelpful.,negative,43,yes,yes,0
1841,female,46-60,north,fashion,online,facebook marketplace,5,great value for money.,positive,12,yes,no,1
1842,male,26-35,east,sports,online,jiomart,4,great value for money.,positive,40,yes,no,1
1843,other,46-60,central,automobile,online,ajio,5,fast delivery and great packaging.,positive,46,yes,no,1
1844,other,46-60,east,beauty,online,paytm mall,4,fast delivery and great packaging.,positive,50,no,no,1
1845,other,18-25,central,travel,online,amazon,2,not worth the price.,negative,34,yes,yes,0
1846,female,60+,west,travel,online,croma,4,excellent product! exceeded expectations.,positive,28,yes,no,1
1847,female,18-25,central,books,online,bigbasket,2,very disappointed with the quality.,negative,61,no,yes,0
1848,female,36-45,central,sports,online,snapdeal,5,great value for money.,positive,57,no,no,1
1849,female,36-45,north,beauty,online,lenskart,2,customer service was unhelpful.,negative,10,yes,yes,0
1850,male,36-45,east,sports,online,myntra,2,late delivery and poor packaging.,negative,68,no,yes,0
1851,male,18-25,north,sports,online,myntra,4,fast delivery and great packaging.,positive,6,yes,no,1
1852,male,26-35,north,fashion,online,zepto,1,not worth the price.,negative,53,no,yes,0
1853,female,18-25,east,sports,online,lenskart,5,very satisfied with the quality.,positive,54,no,no,1
1855,male,18-25,central,automobile,online,amazon,1,customer service was unhelpful.,negative,35,yes,yes,0
1856,other,36-45,north,electronics,online,reliance digital,5,excellent product! exceeded expectations.,positive,25,yes,no,1
1857,female,26-35,north,electronics,online,snapdeal,5,very satisfied with the quality.,positive,1,yes,no,1
1858,female,18-25,north,sports,online,reliance digital,5,fast delivery and great packaging.,positive,65,no,no,1
1859,female,26-35,central,books,online,jiomart,5,fast delivery and great packaging.,positive,41,yes,no,1
1860,other,60+,west,sports,online,paytm mall,5,fast delivery and great packaging.,positive,25,yes,no,1
1861,other,36-45,east,fashion,online,myntra,1,not worth the price.,negative,6,yes,yes,0
1862,male,60+,north,home & kitchen,online,paytm mall,4,great value for money.,positive,14,yes,no,1
1864,female,36-45,north,home & kitchen,online,amazon,5,fast delivery and great packaging.,positive,11,yes,no,1
1865,other,60+,north,travel,online,zepto,2,very disappointed with the quality.,negative,9,yes,yes,0
1867,male,36-45,east,travel,online,croma,2,not worth the price.,negative,2,yes,yes,0
1869,male,36-45,central,beauty,online,snapdeal,1,product stopped working after few days.,negative,19,yes,yes,0
1870,other,60+,central,books,online,bigbasket,4,great value for money.,positive,33,yes,no,1
1871,male,18-25,north,home & kitchen,online,swiggy instamart,1,customer service was unhelpful.,negative,54,no,yes,0
1873,female,46-60,east,automobile,online,facebook marketplace,4,fast delivery and great packaging.,positive,8,yes,no,1
1874,other,26-35,east,sports,online,croma,4,excellent product! exceeded expectations.,positive,69,no,no,1
1875,female,60+,east,electronics,online,flipkart,1,late delivery and poor packaging.,negative,57,no,yes,0
1876,male,26-35,west,travel,online,nykaa,2,very disappointed with the quality.,negative,46,yes,yes,0
1878,other,26-35,central,sports,online,others,5,very satisfied with the quality.,positive,69,no,no,1
1879,other,46-60,south,automobile,online,facebook marketplace,2,customer service was unhelpful.,negative,58,no,yes,0
1880,male,18-25,south,beauty,online,others,5,excellent product! exceeded expectations.,positive,15,yes,no,1
1881,female,18-25,south,fashion,online,myntra,2,customer service was unhelpful.,negative,40,yes,yes,0
1882,male,46-60,west,sports,online,flipkart,5,fast delivery and great packaging.,positive,62,no,no,1
1883,male,26-35,west,sports,online,jiomart,4,fast delivery and great packaging.,positive,46,yes,no,1
1884,other,18-25,west,electronics,online,ajio,1,product stopped working after few days.,negative,15,yes,yes,0
1885,female,26-35,east,fashion,online,ajio,4,great value for money.,positive,29,yes,no,1
1886,male,26-35,south,fashion,online,flipkart,2,product stopped working after few days.,negative,20,yes,yes,0
1887,female,18-25,west,groceries,online,tata cliq,1,product stopped working after few days.,negative,35,yes,yes,0
1888,female,60+,north,sports,online,facebook marketplace,5,fast delivery and great packaging.,positive,70,no,no,1
1889,male,18-25,south,sports,online,snapdeal,4,great value for money.,positive,25,yes,no,1
1890,female,36-45,west,fashion,online,croma,5,very satisfied with the quality.,positive,36,yes,no,1
1891,male,26-35,west,books,online,ajio,4,great value for money.,positive,68,no,no,1
1892,male,26-35,south,books,online,snapdeal,2,late delivery and poor packaging.,negative,26,yes,yes,0
1893,other,18-25,south,electronics,online,facebook marketplace,4,fast delivery and great packaging.,positive,71,no,no,1
1895,male,60+,central,books,online,paytm mall,4,great value for money.,positive,3,yes,no,1
1896,other,18-25,east,groceries,online,flipkart,1,not worth the price.,negative,56,no,yes,0
1898,other,60+,north,beauty,online,ajio,5,very satisfied with the quality.,positive,33,yes,no,1
1901,female,18-25,south,travel,online,zepto,5,very satisfied with the quality.,positive,20,yes,no,1
1904,male,46-60,central,beauty,online,lenskart,1,not worth the price.,negative,61,no,yes,0
1906,male,26-35,west,electronics,online,facebook marketplace,1,very disappointed with the quality.,negative,68,no,yes,0
1907,male,26-35,west,groceries,online,meesho,5,great value for money.,positive,46,yes,no,1
1908,male,36-45,south,fashion,online,shopclues,5,"amazing experience, highly recommend!",positive,46,yes,no,1
1910,other,26-35,south,electronics,online,myntra,4,fast delivery and great packaging.,positive,51,no,no,1
1912,other,36-45,central,beauty,online,paytm mall,2,customer service was unhelpful.,negative,6,yes,yes,0
1913,male,36-45,central,beauty,online,reliance digital,2,customer service was unhelpful.,negative,35,yes,yes,0
1914,other,18-25,west,books,online,zepto,1,very disappointed with the quality.,negative,57,no,yes,0
1915,male,18-25,east,sports,online,shopclues,4,very satisfied with the quality.,positive,13,yes,no,1
1916,female,46-60,west,books,online,myntra,4,fast delivery and great packaging.,positive,70,no,no,1
1917,male,60+,west,beauty,online,shopclues,1,product stopped working after few days.,negative,44,yes,yes,0
1918,female,36-45,north,groceries,online,shopclues,5,excellent product! exceeded expectations.,positive,34,yes,no,1
1919,female,18-25,south,home & kitchen,online,swiggy instamart,1,late delivery and poor packaging.,negative,7,yes,yes,0
1921,female,26-35,east,travel,online,snapdeal,1,customer service was unhelpful.,negative,69,no,yes,0
1922,female,18-25,south,travel,online,snapdeal,4,"amazing experience, highly recommend!",positive,50,no,no,1
1924,female,36-45,central,groceries,online,lenskart,5,excellent product! exceeded expectations.,positive,16,yes,no,1
1925,female,36-45,south,sports,online,others,4,"amazing experience, highly recommend!",positive,28,yes,no,1
1928,male,26-35,north,books,online,bigbasket,5,fast delivery and great packaging.,positive,66,no,no,1
1929,male,26-35,north,books,online,snapdeal,5,fast delivery and great packaging.,positive,29,yes,no,1
1930,other,46-60,west,fashion,online,lenskart,2,very disappointed with the quality.,negative,5,yes,yes,0
1931,male,18-25,central,home & kitchen,online,shopclues,5,very satisfied with the quality.,positive,66,no,no,1
1932,female,18-25,central,groceries,online,jiomart,1,late delivery and poor packaging.,negative,50,no,yes,0
1933,other,60+,north,books,online,reliance digital,5,excellent product! exceeded expectations.,positive,34,yes,no,1
1934,other,26-35,central,travel,online,jiomart,5,"amazing experience, highly recommend!",positive,22,yes,no,1
1935,male,18-25,south,fashion,online,tata cliq,2,customer service was unhelpful.,negative,22,yes,yes,0
1936,male,46-60,east,fashion,online,swiggy instamart,5,"amazing experience, highly recommend!",positive,1,yes,no,1
1938,female,18-25,south,electronics,online,jiomart,1,not worth the price.,negative,17,yes,yes,0
1939,other,60+,south,beauty,online,flipkart,2,late delivery and poor packaging.,negative,13,yes,yes,0
1940,male,26-35,central,home & kitchen,online,zepto,4,very satisfied with the quality.,positive,59,no,no,1
1942,male,46-60,south,electronics,online,zepto,4,very satisfied with the quality.,positive,2,yes,no,1
1943,other,60+,south,home & kitchen,online,zepto,5,excellent product! exceeded expectations.,positive,34,yes,no,1
1944,male,46-60,south,fashion,online,nykaa,5,great value for money.,positive,16,yes,no,1
1945,female,46-60,east,home & kitchen,online,paytm mall,4,very satisfied with the quality.,positive,51,no,no,1
1946,male,18-25,south,groceries,online,ajio,4,very satisfied with the quality.,positive,53,no,no,1
1947,male,60+,south,home & kitchen,online,others,1,customer service was unhelpful.,negative,30,yes,yes,0
1948,other,18-25,east,automobile,online,facebook marketplace,5,very satisfied with the quality.,positive,70,no,no,1
1950,male,36-45,north,fashion,online,boat,4,great value for money.,positive,48,no,no,1
1952,female,36-45,east,books,online,ajio,2,late delivery and poor packaging.,negative,38,yes,yes,0
1953,male,18-25,central,beauty,online,others,4,fast delivery and great packaging.,positive,23,yes,no,1
1954,female,36-45,central,travel,online,jiomart,1,product stopped working after few days.,negative,28,yes,yes,0
1955,other,26-35,central,groceries,online,myntra,2,very disappointed with the quality.,negative,45,yes,yes,0
1956,female,46-60,east,beauty,online,jiomart,5,excellent product! exceeded expectations.,positive,52,no,no,1
1958,female,46-60,central,travel,online,croma,5,excellent product! exceeded expectations.,positive,16,yes,no,1
1960,male,60+,central,sports,online,jiomart,1,late delivery and poor packaging.,negative,6,yes,yes,0
1961,other,26-35,central,groceries,online,boat,4,fast delivery and great packaging.,positive,21,yes,no,1
1962,other,26-35,west,electronics,online,snapdeal,4,"amazing experience, highly recommend!",positive,50,no,no,1
1963,male,36-45,east,travel,online,jiomart,5,very satisfied with the quality.,positive,1,yes,no,1
1964,other,18-25,west,electronics,online,reliance digital,1,not worth the price.,negative,65,no,yes,0
1966,other,26-35,central,beauty,online,jiomart,4,great value for money.,positive,62,no,no,1
1967,female,60+,south,automobile,online,boat,1,not worth the price.,negative,26,yes,yes,0
1968,female,18-25,east,travel,online,jiomart,2,product stopped working after few days.,negative,27,yes,yes,0
1969,other,60+,east,fashion,online,tata cliq,5,great value for money.,positive,1,yes,no,1
1970,male,26-35,south,electronics,online,bigbasket,5,"amazing experience, highly recommend!",positive,67,no,no,1
1971,other,46-60,east,groceries,online,jiomart,2,not worth the price.,negative,19,yes,yes,0
1972,other,60+,central,sports,online,tata cliq,4,great value for money.,positive,6,yes,no,1
1973,other,18-25,north,electronics,online,lenskart,4,great value for money.,positive,9,yes,no,1
1974,female,26-35,east,books,online,lenskart,4,fast delivery and great packaging.,positive,5,yes,no,1
1975,female,60+,west,sports,online,amazon,4,"amazing experience, highly recommend!",positive,4,yes,no,1
1976,male,18-25,central,travel,online,croma,2,customer service was unhelpful.,negative,39,yes,yes,0
1977,other,18-25,south,home & kitchen,online,myntra,1,not worth the price.,negative,23,yes,yes,0
1978,female,36-45,south,travel,online,paytm mall,2,very disappointed with the quality.,negative,50,no,yes,0
1979,male,18-25,north,groceries,online,paytm mall,2,product stopped working after few days.,negative,10,yes,yes,0
1982,female,18-25,west,electronics,online,shopclues,1,late delivery and poor packaging.,negative,42,yes,yes,0
1983,male,18-25,east,automobile,online,myntra,5,very satisfied with the quality.,positive,71,no,no,1
1984,other,46-60,west,fashion,online,bigbasket,2,late delivery and poor packaging.,negative,5,yes,yes,0
1986,other,60+,east,home & kitchen,online,ajio,5,great value for money.,positive,64,no,no,1
1987,other,60+,south,electronics,online,others,4,great value for money.,positive,49,no,no,1
1989,male,26-35,central,groceries,online,snapdeal,1,product stopped working after few days.,negative,69,no,yes,0
1990,other,46-60,east,sports,online,shopclues,2,customer service was unhelpful.,negative,68,no,yes,0
1991,female,46-60,north,electronics,online,snapdeal,5,fast delivery and great packaging.,positive,40,yes,no,1
1992,female,36-45,north,travel,online,swiggy instamart,5,excellent product! exceeded expectations.,positive,42,yes,no,1
1993,male,26-35,north,sports,online,flipkart,2,product stopped working after few days.,negative,68,no,yes,0
1994,female,26-35,west,groceries,online,tata cliq,4,fast delivery and great packaging.,positive,61,no,no,1
1995,other,36-45,north,travel,online,bigbasket,2,late delivery and poor packaging.,negative,39,yes,yes,0
1998,other,18-25,east,home & kitchen,online,swiggy instamart,4,fast delivery and great packaging.,positive,34,yes,no,1
1999,male,60+,east,sports,online,lenskart,2,very disappointed with the quality.,negative,58,no,yes,0
2000,male,46-60,north,groceries,online,flipkart,2,product stopped working after few days.,negative,24,yes,yes,0
2001,other,60+,south,sports,online,boat,2,customer service was unhelpful.,negative,61,no,yes,0
2002,male,60+,south,books,online,tata cliq,1,very disappointed with the quality.,negative,23,yes,yes,0
2003,female,46-60,west,sports,online,flipkart,2,not worth the price.,negative,55,no,yes,0
2004,female,26-35,central,automobile,online,nykaa,2,late delivery and poor packaging.,negative,27,yes,yes,0
2005,other,46-60,central,sports,online,paytm mall,5,fast delivery and great packaging.,positive,55,no,no,1
2006,male,36-45,north,books,online,others,2,very disappointed with the quality.,negative,19,yes,yes,0
2007,female,60+,west,automobile,online,paytm mall,4,excellent product! exceeded expectations.,positive,25,yes,no,1
2008,male,26-35,west,books,online,meesho,5,great value for money.,positive,67,no,no,1
2009,other,18-25,north,sports,online,zepto,1,late delivery and poor packaging.,negative,56,no,yes,0
2010,female,18-25,west,electronics,online,paytm mall,5,very satisfied with the quality.,positive,38,yes,no,1
2012,female,46-60,north,home & kitchen,online,lenskart,1,very disappointed with the quality.,negative,44,yes,yes,0
2013,male,18-25,west,automobile,online,amazon,1,customer service was unhelpful.,negative,30,yes,yes,0
2014,other,18-25,central,sports,online,croma,5,fast delivery and great packaging.,positive,5,yes,no,1
2016,male,46-60,south,beauty,online,croma,5,great value for money.,positive,63,no,no,1
2017,female,36-45,east,beauty,online,zepto,2,late delivery and poor packaging.,negative,52,no,yes,0
2018,other,26-35,east,fashion,online,lenskart,1,late delivery and poor packaging.,negative,6,yes,yes,0
2019,other,26-35,central,home & kitchen,online,ajio,5,very satisfied with the quality.,positive,54,no,no,1
2021,male,36-45,west,travel,online,swiggy instamart,1,customer service was unhelpful.,negative,61,no,yes,0
2023,female,46-60,west,electronics,online,meesho,2,late delivery and poor packaging.,negative,50,no,yes,0
2024,female,26-35,south,books,online,swiggy instamart,2,late delivery and poor packaging.,negative,8,yes,yes,0
2025,male,26-35,north,automobile,online,amazon,4,fast delivery and great packaging.,positive,14,yes,no,1
2026,female,46-60,central,home & kitchen,online,jiomart,2,very disappointed with the quality.,negative,60,no,yes,0
2027,female,26-35,east,fashion,online,shopclues,2,not worth the price.,negative,20,yes,yes,0
2028,other,36-45,central,sports,online,croma,1,late delivery and poor packaging.,negative,51,no,yes,0
2029,female,46-60,west,electronics,online,facebook marketplace,5,"amazing experience, highly recommend!",positive,38,yes,no,1
2031,female,18-25,west,electronics,online,amazon,5,excellent product! exceeded expectations.,positive,47,yes,no,1
2032,male,60+,west,fashion,online,ajio,2,very disappointed with the quality.,negative,24,yes,yes,0
2033,male,26-35,central,electronics,online,nykaa,1,customer service was unhelpful.,negative,34,yes,yes,0
2035,other,36-45,south,books,online,snapdeal,2,customer service was unhelpful.,negative,55,no,yes,0
2039,other,60+,east,beauty,online,croma,4,very satisfied with the quality.,positive,63,no,no,1
2040,female,36-45,north,electronics,online,amazon,1,very disappointed with the quality.,negative,1,yes,yes,0
2041,male,36-45,central,sports,online,zepto,5,great value for money.,positive,58,no,no,1
2042,other,46-60,west,beauty,online,croma,1,late delivery and poor packaging.,negative,1,yes,yes,0
2045,male,18-25,west,automobile,online,myntra,4,very satisfied with the quality.,positive,42,yes,no,1
2046,other,36-45,north,electronics,online,ajio,2,customer service was unhelpful.,negative,40,yes,yes,0
2047,female,36-45,north,groceries,online,flipkart,4,great value for money.,positive,45,yes,no,1
2048,female,26-35,east,beauty,online,nykaa,1,not worth the price.,negative,36,yes,yes,0
2050,female,26-35,north,groceries,online,facebook marketplace,2,not worth the price.,negative,14,yes,yes,0
2051,male,60+,east,beauty,online,flipkart,5,fast delivery and great packaging.,positive,48,no,no,1
2052,male,18-25,east,fashion,online,flipkart,5,"amazing experience, highly recommend!",positive,22,yes,no,1
2053,female,46-60,south,sports,online,jiomart,5,fast delivery and great packaging.,positive,27,yes,no,1
2054,other,46-60,east,home & kitchen,online,bigbasket,4,excellent product! exceeded expectations.,positive,44,yes,no,1
2055,other,36-45,west,beauty,online,paytm mall,1,not worth the price.,negative,4,yes,yes,0
2056,female,18-25,north,books,online,swiggy instamart,4,"amazing experience, highly recommend!",positive,11,yes,no,1
2057,other,18-25,central,travel,online,nykaa,2,customer service was unhelpful.,negative,43,yes,yes,0
2058,other,46-60,south,beauty,online,lenskart,5,"amazing experience, highly recommend!",positive,36,yes,no,1
2059,female,60+,south,fashion,online,croma,2,very disappointed with the quality.,negative,47,yes,yes,0
2060,female,36-45,north,electronics,online,nykaa,4,"amazing experience, highly recommend!",positive,2,yes,no,1
2063,male,36-45,north,fashion,online,nykaa,4,very satisfied with the quality.,positive,70,no,no,1
2064,other,18-25,south,books,online,nykaa,5,very satisfied with the quality.,positive,15,yes,no,1
2065,female,26-35,west,beauty,online,boat,4,fast delivery and great packaging.,positive,57,no,no,1
2066,female,26-35,west,automobile,online,flipkart,2,product stopped working after few days.,negative,70,no,yes,0
2067,other,60+,south,electronics,online,ajio,1,customer service was unhelpful.,negative,24,yes,yes,0
2068,other,60+,west,travel,online,nykaa,2,very disappointed with the quality.,negative,69,no,yes,0
2070,female,36-45,south,automobile,online,nykaa,2,late delivery and poor packaging.,negative,7,yes,yes,0
2071,male,18-25,north,home & kitchen,online,lenskart,4,fast delivery and great packaging.,positive,53,no,no,1
2072,female,36-45,north,fashion,online,lenskart,2,late delivery and poor packaging.,negative,34,yes,yes,0
2073,female,18-25,central,groceries,online,zepto,1,very disappointed with the quality.,negative,6,yes,yes,0
2074,female,46-60,south,electronics,online,swiggy instamart,4,very satisfied with the quality.,positive,21,yes,no,1
2075,other,18-25,central,beauty,online,shopclues,4,very satisfied with the quality.,positive,37,yes,no,1
2076,female,60+,south,beauty,online,croma,1,late delivery and poor packaging.,negative,40,yes,yes,0
2079,male,60+,west,sports,online,facebook marketplace,2,late delivery and poor packaging.,negative,51,no,yes,0
2080,male,60+,central,beauty,online,bigbasket,4,excellent product! exceeded expectations.,positive,54,no,no,1
2082,male,18-25,north,automobile,online,meesho,5,excellent product! exceeded expectations.,positive,46,yes,no,1
2083,male,60+,east,home & kitchen,online,nykaa,1,not worth the price.,negative,60,no,yes,0
2084,other,60+,south,home & kitchen,online,flipkart,2,product stopped working after few days.,negative,13,yes,yes,0
2087,other,18-25,central,fashion,online,jiomart,4,great value for money.,positive,19,yes,no,1
2088,female,26-35,central,beauty,online,bigbasket,4,"amazing experience, highly recommend!",positive,67,no,no,1
2089,male,46-60,central,home & kitchen,online,facebook marketplace,5,"amazing experience, highly recommend!",positive,39,yes,no,1
2090,male,18-25,east,automobile,online,others,1,customer service was unhelpful.,negative,3,yes,yes,0
2091,other,46-60,east,sports,online,others,2,product stopped working after few days.,negative,10,yes,yes,0
2093,other,18-25,west,automobile,online,others,4,great value for money.,positive,19,yes,no,1
2094,male,60+,north,automobile,online,swiggy instamart,1,late delivery and poor packaging.,negative,18,yes,yes,0
2095,male,60+,central,travel,online,reliance digital,2,very disappointed with the quality.,negative,10,yes,yes,0
2096,other,26-35,central,travel,online,reliance digital,1,very disappointed with the quality.,negative,55,no,yes,0
2097,other,18-25,central,groceries,online,others,1,not worth the price.,negative,22,yes,yes,0
2099,other,26-35,east,travel,online,nykaa,2,very disappointed with the quality.,negative,6,yes,yes,0
2100,male,26-35,east,groceries,online,reliance digital,5,very satisfied with the quality.,positive,13,yes,no,1
2101,other,60+,west,books,online,flipkart,1,product stopped working after few days.,negative,47,yes,yes,0
